Monte, G1, G2, G3
17.63, 1.54, 0.84, 5.99
3.18, 1.99, 0.03, 20.8
0.21, 1.96, 0, 23.83
0.2, 1.97, 0.03, 23.8
0.05, 2.12, 0, 23.83
1.2, 2.31, 0, 22.49
0.6, 1.99, 0, 23.41
0, 2, 0, 24
0, 2, 0, 24
0, 2, 0, 24
0.19, 1.98, 0.03, 23.8
0, 2, 0, 24
0.17, 2.01, 0, 23.82
0.68, 2.3, 0, 23.02
0, 2, 0, 24
0, 2, 0, 24
0, 2, 0, 24
0.03, 1.97, 0, 24
0.22, 2.1, 0, 23.68
0, 2, 0, 24
0.09, 2.16, 0, 23.75
0.06, 2.04, 0, 23.9
0.4, 2.64, 0, 22.96
0.55, 2.62, 0, 22.83
0.26, 2.12, 0, 23.62
0.09, 2.29, 0, 23.62
0.08, 2.02, 0, 23.9
0.11, 2.01, 0, 23.88
0.06, 2.17, 0, 23.77
0.08, 2.04, 0, 23.88
0.44, 2.24, 0, 23.32
0.08, 2.06, 0, 23.86
0.08, 2.02, 0, 23.9
0.06, 2.02, 0, 23.92
0.08, 2.15, 0, 23.77
0.06, 2, 0, 23.94
0.05, 2.05, 0, 23.9
0.08, 2.28, 0, 23.64
0.06, 2.02, 0, 23.92
0.06, 2, 0, 23.94
0.06, 2.04, 0, 23.9
0.07, 2.03, 0, 23.9
0.07, 2.12, 0, 23.81
0.04, 2.26, 0, 23.7
0.05, 2.05, 0, 23.9
0.06, 2.13, 0, 23.81
0.05, 2.01, 0, 23.94
0.06, 2.04, 0, 23.9
0.03, 1.99, 0, 23.98
0.56, 2.03, 0, 23.41
0.01, 2.01, 0, 23.98
0.01, 2.01, 0, 23.98
0.01, 1.99, 0, 24
0.01, 2.01, 0, 23.98
0.01, 2.01, 0, 23.98
0.38, 2, 0, 23.62
0.03, 2.14, 0, 23.83
0.01, 2.01, 0, 23.98
0.01, 1.99, 0, 24
0.03, 2.01, 0, 23.96
0, 2, 0, 24
0, 2, 0, 24
0, 2, 0, 24
0.01, 2.01, 0, 23.98
0.01, 2.01, 0, 23.98
0.01, 1.99, 0, 24
0.16, 2.01, 0, 23.83
0, 2, 0, 24
0, 2, 0, 24
0.35, 2.26, 0, 23.39
0, 2, 0, 24
0, 2, 0, 24
0, 2, 0, 24
0, 2, 0, 24
0, 2, 0, 24
0, 2, 0, 24
0, 2, 0, 24
0.06, 2.02, 0, 23.92
0, 2, 0, 24
0, 2, 0, 24
0, 2, 0, 24
0.28, 1.99, 0, 23.73
0, 2, 0, 24
0, 2, 0, 24
0, 2, 0, 24
0, 2, 0, 24
0.06, 1.98, 0, 23.96
0, 2, 0, 24
0, 2, 0, 24
0, 2, 0, 24
0, 2, 0, 24
0.06, 2.02, 0, 23.92
0, 2, 0, 24
0, 2, 0, 24
0, 2, 0, 24
0, 2, 0, 24
0, 2, 0, 24
0.09, 1.99, 0, 23.92
0, 2, 0, 24
0, 2, 0, 24
